"Region_Year","n_pdfs","pdf_pages","clean_rows","clean_nonblank","extract_nodes","extract_edges","disambig_nodes","graph_nodes","graph_edges","status"
"Region_04_2016",1,270,270,221,994,2865,794,789,654,"ok"
"Region_10B_2005",1,733,733,691,NA,NA,NA,NA,NA,"missing_extract"
"Region_10B_2012",1,45,45,45,NA,NA,NA,NA,NA,"missing_extract"
"Region_10_2006",1,171,171,164,NA,NA,NA,NA,NA,"missing_extract"
"Region_10_2012",2,246,246,229,NA,NA,NA,NA,NA,"missing_extract"
"Region_10_2014",37,860,860,786,NA,NA,NA,NA,NA,"missing_extract"
"Region_10_2017",1,90,90,70,NA,NA,NA,NA,NA,"missing_extract"
"Region_11_2013",5,467,467,447,NA,NA,NA,NA,NA,"missing_extract"
"Region_11_2018",78,2046,2046,1810,NA,NA,NA,NA,NA,"missing_extract"
"Region_12_2012",33,1217,1217,989,NA,NA,NA,NA,NA,"missing_extract"
"Region_13_2011",1,312,312,304,NA,NA,NA,NA,NA,"missing_extract"
"Region_13_2012",1,381,381,349,NA,NA,NA,NA,NA,"missing_extract"
"Region_13_2014",1,443,443,417,NA,NA,NA,NA,NA,"missing_extract"
"Region_13_2019",1,490,490,470,NA,NA,NA,NA,NA,"missing_extract"
"Region_14_2018",1,596,596,419,NA,NA,NA,NA,NA,"missing_extract"
"Region_15_2011",1,665,665,567,NA,NA,NA,NA,NA,"missing_extract"
"Region_15_2020",2,802,802,668,NA,NA,NA,NA,NA,"missing_extract"
"Region_16_2008",1,49,49,29,NA,NA,NA,NA,NA,"missing_extract"
"Region_16_2014",1,273,273,257,NA,NA,NA,NA,NA,"missing_extract"
"Region_16_2019",2,112,112,100,NA,NA,NA,NA,NA,"missing_extract"
"Region_17_2013",26,1286,1286,1032,NA,NA,NA,NA,NA,"missing_extract"
"Region_17_2018",2,628,628,604,NA,NA,NA,NA,NA,"missing_extract"
"Region_18_2005",1,252,252,215,NA,NA,NA,NA,NA,"missing_extract"
"Region_18_2014",9,1437,1437,1130,NA,NA,NA,NA,NA,"missing_extract"
"Region_18_2018",1,77,77,55,NA,NA,NA,NA,NA,"missing_extract"
"Region_19_2006",1,235,235,201,NA,NA,NA,NA,NA,"missing_extract"
"Region_19_2013",3,873,873,797,NA,NA,NA,NA,NA,"missing_extract"
"Region_19_2018",1,918,918,907,NA,NA,NA,NA,NA,"missing_extract"
