entity_name,abbreviation,aliases,entity_type,irwm_region,notes,all_names,source
California Department of Water Resources,DWR,Department of Water Resources|CA DWR|California DWR,State Agency,Statewide,Primary state water planning agency,California Department of Water Resources|DWR|Department of Water Resources|CA DWR|California DWR,CA-GOV
State Water Resources Control Board,SWRCB,State Water Board|California Water Boards|SWRCB|State Water Resources Control Board,State Agency,Statewide,Water rights and water quality regulation,State Water Resources Control Board|SWRCB|State Water Board|California Water Boards,CA-GOV
California Environmental Protection Agency,CalEPA,Cal EPA|California EPA,State Agency,Statewide,Umbrella environmental regulatory agency,California Environmental Protection Agency|CalEPA|Cal EPA|California EPA,CA-GOV
California Natural Resources Agency,CNRA,Natural Resources Agency|California Resources Agency,State Agency,Statewide,Umbrella natural resources cabinet agency,California Natural Resources Agency|CNRA|Natural Resources Agency|California Resources Agency,CA-GOV
California Department of Fish and Wildlife,CDFW,Dept of Fish and Wildlife|CA Fish and Wildlife|DFW|California Department of Fish and Game|CDFG,State Agency,Statewide,Formerly California Department of Fish and Game (CDFG) until 2013,California Department of Fish and Wildlife|CDFW|Dept of Fish and Wildlife|CA Fish and Wildlife|DFW|California Department of Fish and Game|CDFG,CA-GOV
California Department of Food and Agriculture,CDFA,CA Dept of Food and Agriculture,State Agency,Statewide,,California Department of Food and Agriculture|CDFA|CA Dept of Food and Agriculture,CA-GOV
California Department of Public Health,CDPH,CA Dept of Public Health|CDPH,State Agency,Statewide,Drinking water program oversight,California Department of Public Health|CDPH|CA Dept of Public Health,CA-GOV
California Air Resources Board,CARB,Air Resources Board|ARB|CA Air Resources Board,State Agency,Statewide,,California Air Resources Board|CARB|Air Resources Board|ARB|CA Air Resources Board,CA-GOV
California Department of Conservation,DOC,Dept of Conservation|CA DOC|CA Department of Conservation,State Agency,Statewide,Includes Division of Water Rights (historical),California Department of Conservation|DOC|Dept of Conservation|CA DOC|CA Department of Conservation,CA-GOV
California Governor's Office of Planning and Research,OPR,Office of Planning and Research|CA OPR,State Agency,Statewide,,California Governor's Office of Planning and Research|OPR|Office of Planning and Research|CA OPR,CA-GOV
California Department of Housing and Community Development,HCD,Dept of Housing and Community Development|CA HCD,State Agency,Statewide,,California Department of Housing and Community Development|HCD|Dept of Housing and Community Development|CA HCD,CA-GOV
California Energy Commission,CEC,CA Energy Commission,State Agency,Statewide,,California Energy Commission|CEC|CA Energy Commission,CA-GOV
Strategic Growth Council,SGC,CA Strategic Growth Council,State Agency,Statewide,,Strategic Growth Council|SGC|CA Strategic Growth Council,CA-GOV
Ocean Protection Council,OPC,CA Ocean Protection Council,State Agency,Statewide,,Ocean Protection Council|OPC|CA Ocean Protection Council,CA-GOV
Delta Stewardship Council,DSC,Delta Council,State Agency,Sacramento-San Joaquin Delta,Oversees Delta Plan,Delta Stewardship Council|DSC|Delta Council,CA-GOV
